Time (d),U234,U235,U236,U237,U238,U239,Np236,Np237,Np238,Np239,Pu238,Pu239,Pu240,Pu241,Pu242,Pu243,Am241,Am242,Am243
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6500.0,2500.0,700.0,300.0,0.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6358.736093756683,2492.2080575341424,689.2988107412018,298.80888510280244,0.026411815591919147,0.913479505978514,0.005900704710683678,0.853506124189811
20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6220.542040512881,2484.020745763514,678.8670436185213,297.5989061898303,0.026304884343067533,1.7953423666477162,0.023124657923350916,1.7126677985245984
30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6085.352092263595,2475.45328534713,668.6959779194002,296.3710562142445,0.026196409843125133,2.6465364983969564,0.05096994727159549,2.5513307236078266
40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5953.1005413949,2466.520811523509,658.7769962854726,295.12631339535824,0.026086472144140983,3.4680008214604436,0.08875007448436056,3.3698795312587917
50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5823.723132272129,2457.2380384805683,649.101781676459,293.8656185119565,0.025975090454565447,4.260644103762204,0.1358104540803532,4.168692230547218
60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5697.1607214014775,2447.618249221378,639.6629961516388,292.589791898214,0.025862371845554396,5.025275889791033,0.19159648886266178,4.94812202214159
70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5573.349521676504,2437.67602837916,630.452411006124,291.29976349054647,0.02574839562687951,5.762795961784169,0.2554625655326427,5.708544560190768
80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5452.226536125644,2427.4257387939433,621.4619495441182,289.99644451214186,0.02563324244004105,6.474088709052391,0.32677862627185117,6.450331688662527
90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5333.7409560562855,2416.8782878005604,612.6859046395934,288.6804540971253,0.02551696708075074,7.159799282203552,0.4051577490470697,7.173797106851384
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5217.829730516907,2406.048054372012,604.1161884398397,287.35270485488945,0.02539965090447026,7.820813180079923,0.48996871042181833,7.879312901017995
