U234	U235	U236	U237	U238	U239	Np236	Np237	Np238	Np239	Pu238	Pu239	Pu240	Pu241	Pu242	Pu243	Am241	Am242	Am243
3.1039E+00	3.1047E+00	3.1922E+00	3.1512E+00	3.1992E+00	3.2656E+00	3.1564E+00	3.2182E+00	3.2559E+00	3.2353E+00	3.5380E+00	3.2918E+00	3.5407E+00	3.1550E+00	3.4501E+00	3.1709E+00	2.9892E+00	3.1497E+00	3.0874E+00
3.0016E+00	3.0900E+00	3.1556E+00	3.1613E+00	3.2240E+00	3.2806E+00	3.1523E+00	3.1838E+00	3.2502E+00	3.2287E+00	3.5452E+00	3.2592E+00	3.5242E+00	3.2482E+00	3.4633E+00	3.1581E+00	3.0546E+00	3.1538E+00	3.1229E+00
2.9184E+00	3.0942E+00	3.0785E+00	3.1860E+00	3.2452E+00	3.2930E+00	3.1558E+00	3.1755E+00	3.2517E+00	3.2294E+00	3.5625E+00	3.2419E+00	3.4941E+00	3.3762E+00	3.4834E+00	3.1810E+00	3.0809E+00	3.1605E+00	3.1472E+00
2.8881E+00	3.1151E+00	2.9964E+00	3.2229E+00	3.2513E+00	3.3062E+00	3.1586E+00	3.1546E+00	3.2516E+00	3.2281E+00	3.5231E+00	3.2509E+00	3.4994E+00	3.4813E+00	3.4758E+00	3.2030E+00	3.0193E+00	3.1689E+00	3.1645E+00
2.8954E+00	3.1388E+00	3.0010E+00	3.2539E+00	3.2475E+00	3.3168E+00	3.1563E+00	3.1566E+00	3.2465E+00	3.2219E+00	3.4558E+00	3.2787E+00	3.5382E+00	3.5118E+00	3.4390E+00	3.2034E+00	2.9468E+00	3.1751E+00	3.1730E+00
2.9102E+00	3.1531E+00	3.0104E+00	3.2767E+00	3.2444E+00	3.3262E+00	3.1565E+00	3.1600E+00	3.2445E+00	3.2188E+00	3.4058E+00	3.3088E+00	3.5786E+00	3.4768E+00	3.4224E+00	3.2035E+00	2.9137E+00	3.1797E+00	3.1788E+00
2.9519E+00	3.1665E+00	3.0275E+00	3.3122E+00	3.2462E+00	3.3467E+00	3.1665E+00	3.2032E+00	3.2509E+00	3.2220E+00	3.3332E+00	3.3551E+00	3.6320E+00	3.4364E+00	3.4553E+00	3.2036E+00	2.9351E+00	3.1868E+00	3.1859E+00
3.0202E+00	3.1985E+00	3.0623E+00	3.3513E+00	3.2643E+00	3.3602E+00	3.1780E+00	3.2162E+00	3.2586E+00	3.2308E+00	3.3181E+00	3.3833E+00	3.6468E+00	3.3934E+00	3.5045E+00	3.2188E+00	3.0205E+00	3.1967E+00	3.1957E+00
3.1312E+00	3.2485E+00	3.0884E+00	3.3856E+00	3.2823E+00	3.3841E+00	3.1881E+00	3.2308E+00	3.2648E+00	3.2366E+00	3.3844E+00	3.4102E+00	3.6272E+00	3.3071E+00	3.5604E+00	3.2387E+00	3.1147E+00	3.2106E+00	3.2089E+00
3.2424E+00	3.2946E+00	3.1255E+00	3.4029E+00	3.3077E+00	3.4485E+00	3.2085E+00	3.2661E+00	3.2840E+00	3.2511E+00	3.4880E+00	3.4345E+00	3.6198E+00	3.2080E+00	3.5731E+00	3.2006E+00	3.1931E+00	3.2270E+00	3.2192E+00
3.3253E+00	3.3200E+00	3.1741E+00	3.4368E+00	3.3349E+00	3.4687E+00	3.2347E+00	3.3122E+00	3.3077E+00	3.2728E+00	3.5827E+00	3.4519E+00	3.6150E+00	3.2382E+00	3.5552E+00	3.1605E+00	3.2496E+00	3.2451E+00	3.2273E+00
3.3932E+00	3.3467E+00	3.2108E+00	3.4977E+00	3.3694E+00	3.4872E+00	3.2581E+00	3.3513E+00	3.3326E+00	3.2957E+00	3.6341E+00	3.4672E+00	3.6368E+00	3.3180E+00	3.5656E+00	3.1808E+00	3.3125E+00	3.2650E+00	3.2386E+00
3.4531E+00	3.3740E+00	3.2455E+00	3.5319E+00	3.4053E+00	3.5138E+00	3.2802E+00	3.3899E+00	3.3577E+00	3.3194E+00	3.6670E+00	3.4846E+00	3.6675E+00	3.3876E+00	3.5917E+00	3.2159E+00	3.3759E+00	3.2849E+00	3.2514E+00
3.5186E+00	3.3992E+00	3.3053E+00	3.5835E+00	3.4486E+00	3.5592E+00	3.3223E+00	3.4475E+00	3.4048E+00	3.3637E+00	3.7070E+00	3.5026E+00	3.6938E+00	3.4661E+00	3.6345E+00	3.2659E+00	3.4297E+00	3.3155E+00	3.2735E+00
3.5795E+00	3.4252E+00	3.3790E+00	3.6464E+00	3.5042E+00	3.6197E+00	3.3812E+00	3.5229E+00	3.4736E+00	3.4295E+00	3.7537E+00	3.5455E+00	3.7180E+00	3.5452E+00	3.6940E+00	3.3267E+00	3.4782E+00	3.3604E+00	3.3033E+00
3.6481E+00	3.4550E+00	3.4561E+00	3.6995E+00	3.5518E+00	3.6678E+00	3.4360E+00	3.6055E+00	3.5443E+00	3.4979E+00	3.7947E+00	3.6119E+00	3.7484E+00	3.6227E+00	3.7561E+00	3.3816E+00	3.5341E+00	3.4061E+00	3.3330E+00
3.7101E+00	3.4780E+00	3.5169E+00	3.7301E+00	3.5838E+00	3.7015E+00	3.4718E+00	3.6687E+00	3.5924E+00	3.5433E+00	3.8247E+00	3.6660E+00	3.7674E+00	3.6618E+00	3.8053E+00	3.4192E+00	3.5656E+00	3.4415E+00	3.3585E+00
3.7360E+00	3.4930E+00	3.5663E+00	3.7485E+00	3.6068E+00	3.7247E+00	3.4956E+00	3.7114E+00	3.6227E+00	3.5723E+00	3.8464E+00	3.7032E+00	3.7809E+00	3.6785E+00	3.8390E+00	3.4429E+00	3.5833E+00	3.4678E+00	3.3758E+00
3.7330E+00	3.5084E+00	3.6135E+00	3.7592E+00	3.6360E+00	3.7433E+00	3.5188E+00	3.7470E+00	3.6543E+00	3.6027E+00	3.8702E+00	3.7397E+00	3.7930E+00	3.6878E+00	3.8609E+00	3.4660E+00	3.5988E+00	3.4939E+00	3.3912E+00
3.7289E+00	3.5182E+00	3.6634E+00	3.7607E+00	3.6624E+00	3.7562E+00	3.5412E+00	3.7715E+00	3.6879E+00	3.6349E+00	3.8898E+00	3.7696E+00	3.8020E+00	3.6850E+00	3.8677E+00	3.4887E+00	3.6066E+00	3.5189E+00	3.4043E+00
3.7253E+00	3.5225E+00	3.7353E+00	3.7620E+00	3.6911E+00	3.7685E+00	3.5619E+00	3.7790E+00	3.7191E+00	3.6647E+00	3.9051E+00	3.7896E+00	3.8030E+00	3.6522E+00	3.8784E+00	3.5104E+00	3.6048E+00	3.5412E+00	3.4171E+00
3.7177E+00	3.5211E+00	3.8141E+00	3.7619E+00	3.7174E+00	3.7801E+00	3.5785E+00	3.7678E+00	3.7468E+00	3.6905E+00	3.9193E+00	3.8079E+00	3.7979E+00	3.6024E+00	3.8952E+00	3.5310E+00	3.5934E+00	3.5628E+00	3.4281E+00
3.7068E+00	3.5168E+00	3.8690E+00	3.7436E+00	3.7404E+00	3.7848E+00	3.5891E+00	3.7589E+00	3.7669E+00	3.7089E+00	3.9289E+00	3.8186E+00	3.8087E+00	3.5714E+00	3.9066E+00	3.5474E+00	3.5716E+00	3.5811E+00	3.4338E+00
3.6995E+00	3.5152E+00	3.8911E+00	3.7303E+00	3.7474E+00	3.7838E+00	3.5937E+00	3.7617E+00	3.7763E+00	3.7173E+00	3.9307E+00	3.8232E+00	3.8194E+00	3.5566E+00	3.9116E+00	3.5553E+00	3.5573E+00	3.5892E+00	3.4352E+00
3.6959E+00	3.5138E+00	3.8987E+00	3.7250E+00	3.7474E+00	3.7824E+00	3.5956E+00	3.7644E+00	3.7801E+00	3.7206E+00	3.9303E+00	3.8252E+00	3.8252E+00	3.5488E+00	3.9137E+00	3.5585E+00	3.5505E+00	3.5920E+00	3.4354E+00
3.6910E+00	3.5111E+00	3.9094E+00	3.7172E+00	3.7474E+00	3.7803E+00	3.5985E+00	3.7692E+00	3.7857E+00	3.7256E+00	3.9297E+00	3.8282E+00	3.8339E+00	3.5372E+00	3.9168E+00	3.5631E+00	3.5402E+00	3.5961E+00	3.4357E+00
3.6813E+00	3.5057E+00	3.9290E+00	3.7019E+00	3.7473E+00	3.7745E+00	3.6006E+00	3.7741E+00	3.7933E+00	3.7318E+00	3.9269E+00	3.8343E+00	3.8475E+00	3.5144E+00	3.9203E+00	3.5723E+00	3.5195E+00	3.6042E+00	3.4364E+00
3.6669E+00	3.4957E+00	3.9539E+00	3.6772E+00	3.7456E+00	3.7647E+00	3.5995E+00	3.7688E+00	3.8015E+00	3.7373E+00	3.9181E+00	3.8418E+00	3.8585E+00	3.4741E+00	3.9227E+00	3.5870E+00	3.4843E+00	3.6137E+00	3.4349E+00
3.6476E+00	3.4772E+00	3.9671E+00	3.6490E+00	3.7425E+00	3.7459E+00	3.5994E+00	3.7556E+00	3.8114E+00	3.7438E+00	3.9049E+00	3.8443E+00	3.8617E+00	3.4193E+00	3.9264E+00	3.6039E+00	3.4472E+00	3.6160E+00	3.4263E+00
3.6240E+00	3.4512E+00	3.9656E+00	3.6064E+00	3.7351E+00	3.7216E+00	3.5958E+00	3.7288E+00	3.8166E+00	3.7452E+00	3.8844E+00	3.8393E+00	3.8417E+00	3.3751E+00	3.9216E+00	3.6281E+00	3.4193E+00	3.6153E+00	3.4149E+00
3.5902E+00	3.4126E+00	3.9508E+00	3.5354E+00	3.7116E+00	3.6841E+00	3.5826E+00	3.6889E+00	3.8113E+00	3.7353E+00	3.8464E+00	3.8185E+00	3.7944E+00	3.3417E+00	3.8997E+00	3.6671E+00	3.3941E+00	3.6098E+00	3.3981E+00
3.5356E+00	3.3752E+00	3.9243E+00	3.4661E+00	3.6721E+00	3.6373E+00	3.5654E+00	3.6654E+00	3.8010E+00	3.7200E+00	3.8058E+00	3.7979E+00	3.7366E+00	3.2969E+00	3.8757E+00	3.7045E+00	3.3641E+00	3.6042E+00	3.3822E+00
3.4662E+00	3.3385E+00	3.8685E+00	3.3973E+00	3.6198E+00	3.5776E+00	3.5423E+00	3.6216E+00	3.7829E+00	3.6964E+00	3.7632E+00	3.7764E+00	3.6763E+00	3.2739E+00	3.8448E+00	3.7401E+00	3.3209E+00	3.5980E+00	3.3670E+00
3.3746E+00	3.3030E+00	3.7636E+00	3.3316E+00	3.5713E+00	3.5177E+00	3.5172E+00	3.5827E+00	3.7622E+00	3.6695E+00	3.7087E+00	3.7503E+00	3.6143E+00	3.3151E+00	3.8137E+00	3.7740E+00	3.2623E+00	3.5922E+00	3.3536E+00
3.2877E+00	3.2653E+00	3.7133E+00	3.2671E+00	3.5284E+00	3.4510E+00	3.4885E+00	3.5355E+00	3.7357E+00	3.6366E+00	3.6678E+00	3.7087E+00	3.5561E+00	3.3455E+00	3.7694E+00	3.8062E+00	3.1889E+00	3.5888E+00	3.3464E+00
3.2029E+00	3.2255E+00	3.6884E+00	3.1924E+00	3.4990E+00	3.3807E+00	3.4583E+00	3.4915E+00	3.7070E+00	3.6006E+00	3.6264E+00	3.6604E+00	3.4969E+00	3.3886E+00	3.7418E+00	3.8327E+00	3.1073E+00	3.5880E+00	3.3466E+00
3.1386E+00	3.1887E+00	3.6322E+00	3.1109E+00	3.4249E+00	3.3062E+00	3.4282E+00	3.4507E+00	3.6776E+00	3.5633E+00	3.5682E+00	3.6072E+00	3.4532E+00	3.4373E+00	3.7315E+00	3.8545E+00	3.0414E+00	3.5866E+00	3.3535E+00
3.0939E+00	3.1569E+00	3.5248E+00	3.0317E+00	3.3553E+00	3.2291E+00	3.3983E+00	3.4027E+00	3.6466E+00	3.5239E+00	3.5096E+00	3.5400E+00	3.4156E+00	3.4622E+00	3.7232E+00	3.8752E+00	3.0166E+00	3.5785E+00	3.3672E+00
3.0212E+00	3.1270E+00	3.3830E+00	2.9563E+00	3.2837E+00	3.1568E+00	3.3691E+00	3.3634E+00	3.6162E+00	3.4827E+00	3.4658E+00	3.4804E+00	3.3896E+00	3.4773E+00	3.6979E+00	3.8929E+00	3.0092E+00	3.5717E+00	3.3761E+00
2.9499E+00	3.0985E+00	3.2438E+00	2.8822E+00	3.2171E+00	3.0953E+00	3.3416E+00	3.3110E+00	3.5871E+00	3.4415E+00	3.4102E+00	3.4302E+00	3.3708E+00	3.4880E+00	3.6600E+00	3.8844E+00	2.9999E+00	3.5641E+00	3.3802E+00
2.9213E+00	3.0750E+00	3.1131E+00	2.8017E+00	3.1307E+00	3.0360E+00	3.3164E+00	3.2748E+00	3.5595E+00	3.3984E+00	3.3298E+00	3.3878E+00	3.3465E+00	3.4972E+00	3.5918E+00	3.8434E+00	2.9986E+00	3.5503E+00	3.3732E+00
2.8224E+00	3.0437E+00	2.8738E+00	2.6867E+00	2.9608E+00	2.9543E+00	3.2835E+00	3.2410E+00	3.5221E+00	3.3330E+00	3.2981E+00	3.3442E+00	3.2802E+00	3.5099E+00	3.4681E+00	3.7810E+00	2.9711E+00	3.5317E+00	3.3219E+00
2.7233E+00	3.0281E+00	2.6662E+00	2.5831E+00	2.7819E+00	2.8810E+00	3.2532E+00	3.2065E+00	3.4869E+00	3.2696E+00	3.2421E+00	3.3045E+00	3.2074E+00	3.5209E+00	3.3144E+00	3.6818E+00	2.9016E+00	3.5185E+00	3.2332E+00
2.7079E+00	2.9988E+00	2.5907E+00	2.5092E+00	2.6559E+00	2.8255E+00	3.2271E+00	3.1564E+00	3.4563E+00	3.2155E+00	3.2284E+00	3.2457E+00	3.1110E+00	3.5282E+00	3.1461E+00	3.5288E+00	2.8438E+00	3.5134E+00	3.1324E+00
2.7391E+00	2.9762E+00	2.4928E+00	2.4326E+00	2.5678E+00	2.7673E+00	3.2048E+00	3.0916E+00	3.4290E+00	3.1695E+00	3.2123E+00	3.2122E+00	2.9829E+00	3.5489E+00	2.9675E+00	3.3776E+00	2.7667E+00	3.5119E+00	3.0098E+00
2.7686E+00	2.9596E+00	2.4193E+00	2.3646E+00	2.4874E+00	2.7149E+00	3.1923E+00	3.0445E+00	3.4118E+00	3.1261E+00	3.1894E+00	3.2014E+00	2.8893E+00	3.5735E+00	2.7943E+00	3.2565E+00	2.6974E+00	3.5175E+00	2.8955E+00
2.8100E+00	2.9432E+00	2.3433E+00	2.2997E+00	2.4012E+00	2.6658E+00	3.1835E+00	2.9991E+00	3.3980E+00	3.0943E+00	3.1587E+00	3.1839E+00	2.8238E+00	3.5965E+00	2.6365E+00	3.1456E+00	2.6777E+00	3.5212E+00	2.7967E+00
2.8075E+00	2.9371E+00	2.2758E+00	2.2373E+00	2.2977E+00	2.6260E+00	3.1829E+00	2.9467E+00	3.3921E+00	3.0615E+00	3.1133E+00	3.1619E+00	2.7408E+00	3.6215E+00	2.4924E+00	3.0650E+00	2.6049E+00	3.5129E+00	2.7092E+00
2.7033E+00	2.9150E+00	2.2089E+00	2.1778E+00	2.2046E+00	2.5937E+00	3.1861E+00	2.8880E+00	3.3896E+00	3.0338E+00	3.0652E+00	3.1122E+00	2.6515E+00	3.6537E+00	2.3902E+00	2.9925E+00	2.5457E+00	3.5003E+00	2.6495E+00
2.5869E+00	2.8932E+00	2.1264E+00	2.1208E+00	2.1015E+00	2.5655E+00	3.1829E+00	2.8321E+00	3.3799E+00	3.0006E+00	2.9874E+00	3.0670E+00	2.5594E+00	3.6901E+00	2.3034E+00	2.9262E+00	2.5015E+00	3.4763E+00	2.6106E+00
2.4774E+00	2.8873E+00	2.0824E+00	2.0659E+00	2.0319E+00	2.5435E+00	3.1648E+00	2.7925E+00	3.3541E+00	2.9512E+00	2.8872E+00	3.0528E+00	2.4626E+00	3.7313E+00	2.2282E+00	2.8681E+00	2.4369E+00	3.4330E+00	2.5870E+00
2.3846E+00	2.8750E+00	2.0470E+00	2.0137E+00	2.0006E+00	2.5235E+00	3.1487E+00	2.7292E+00	3.3306E+00	2.9054E+00	2.8686E+00	3.0322E+00	2.3553E+00	3.7705E+00	2.1609E+00	2.8130E+00	2.4057E+00	3.3898E+00	2.5604E+00
2.3054E+00	2.8681E+00	2.0110E+00	1.9643E+00	1.9668E+00	2.5041E+00	3.1404E+00	2.6653E+00	3.3145E+00	2.8675E+00	2.8403E+00	3.0095E+00	2.2566E+00	3.8019E+00	2.0963E+00	2.7606E+00	2.3853E+00	3.3463E+00	2.5358E+00
2.2527E+00	2.8652E+00	1.9768E+00	1.9181E+00	1.9234E+00	2.4836E+00	3.1484E+00	2.6041E+00	3.3137E+00	2.8436E+00	2.7764E+00	2.9871E+00	2.1893E+00	3.8164E+00	2.0290E+00	2.7107E+00	2.3369E+00	3.3002E+00	2.5186E+00
2.2127E+00	2.8376E+00	1.9436E+00	1.8772E+00	1.8793E+00	2.4451E+00	3.1598E+00	2.5569E+00	3.3161E+00	2.8223E+00	2.7137E+00	2.9595E+00	2.1123E+00	3.8295E+00	1.9705E+00	2.6632E+00	2.3022E+00	3.2579E+00	2.5080E+00
2.1192E+00	2.8214E+00	1.9097E+00	1.8499E+00	1.8434E+00	2.3914E+00	3.1737E+00	2.5314E+00	3.3209E+00	2.8024E+00	2.6526E+00	2.9358E+00	2.0276E+00	3.8417E+00	1.9192E+00	2.6178E+00	2.2776E+00	3.2194E+00	2.5015E+00
1.9554E+00	2.7738E+00	1.8598E+00	1.8034E+00	1.7801E+00	2.3376E+00	3.1526E+00	2.4875E+00	3.2858E+00	2.7339E+00	2.5753E+00	2.9049E+00	1.9217E+00	3.8217E+00	1.8276E+00	2.4771E+00	2.2319E+00	3.1639E+00	2.4737E+00
1.7782E+00	2.7518E+00	1.7992E+00	1.7365E+00	1.7017E+00	2.2776E+00	3.1075E+00	2.4197E+00	3.2239E+00	2.6309E+00	2.4880E+00	2.8920E+00	1.8181E+00	3.7673E+00	1.7136E+00	2.2667E+00	2.1883E+00	3.0926E+00	2.4414E+00
