Time (d),U235
0.0,71.0
10.0,69.42662133041965
20.0,67.8881091458803
30.0,66.38369079590699
40.0,64.91261075216852
50.0,63.47413022906831
60.0,62.067526812617
70.0,60.692094097826526
80.0,59.34714133407948
90.0,58.03199307760429
100.0,56.74598885236449
110.0,55.48848281879503
120.0,54.258843449531355
130.0,53.05645321444249
140.0,51.88070826465247
150.0,50.73101813700402
160.0,49.60680544525917
170.0,48.507505599254706
180.0,48.50750559729807
190.0,48.50750559718937
200.0,48.50750559708067
210.0,48.50750559697196
220.0,48.507505596863254
230.0,48.507505596754555
240.0,28.3293593426903
250.0,27.701589738072787
260.0,27.087711391136946
270.0,26.48743035351126
280.0,25.900447733907225
290.0,25.32647262379944
300.0,24.765222097425617
310.0,24.216410131451443
320.0,23.679733140860506
330.0,23.154946628896912
340.0,22.64179148197219
350.0,22.14001579508422
360.0,21.649374871817194
370.0,21.169613463110746
380.0,20.70047352254063
390.0,20.241734742709642
400.0,19.793168552545193
410.0,19.354552118471712
420.0,19.354552116650005
430.0,19.35455211660663
440.0,19.35455211656326
450.0,19.354552116519887
460.0,19.354552116476516
470.0,19.35455211643314
480.0,6.601906904586295
490.0,6.455533298841148
500.0,6.3125887023728655
510.0,6.172801802106809
520.0,6.036104896568052
530.0,5.902432549042686
540.0,5.771721587577812
550.0,5.643911104981544
560.0,5.518942458823007
570.0,5.396759271432344
580.0,5.277226107601547
590.0,5.160325564998573
600.0,5.046006635333529
610.0,4.934213584267936
620.0,4.824892352723625
630.0,4.717990556882744
640.0,4.6134574881877555
650.0,4.511244113341436
660.0,4.511244112674218
670.0,4.51124411266411
680.0,4.5112441126539995
690.0,4.51124411264389
700.0,4.511244112633782
710.0,4.511244112623672
720.0,4.511244112613562
