Time (d),Pu241
0.0,0.0
10.0,0.008851145198122698
20.0,0.12028380239306777
30.0,0.5467040252346376
40.0,1.5972592243060573
50.0,3.6669797426360464
60.0,7.227961937791014
70.0,12.821147258790646
80.0,21.048573484757153
90.0,32.56605479308043
100.0,48.07633276945238
110.0,68.3226593665002
120.0,94.08276146218715
130.0,126.16329090105032
140.0,165.39421827360397
150.0,212.6242711945169
160.0,268.7156807144291
170.0,334.5403509948852
180.0,326.638254065299
190.0,326.2047627171084
200.0,325.77184666819795
210.0,325.3395051550709
220.0,324.9077374152437
230.0,324.47654268724466
240.0,13339.850890346004
250.0,14302.973460987121
260.0,15295.45593374188
270.0,16317.042473123427
280.0,17367.387452717074
290.0,18446.160577533763
300.0,19553.04688401007
310.0,20687.641899596823
320.0,21849.31478559519
330.0,23037.933587015366
340.0,24253.167846426837
350.0,25494.69511268415
360.0,26762.200940926905
370.0,28055.236541551676
380.0,29373.280936499712
390.0,30716.065846476646
400.0,32083.206992857988
410.0,33474.31631295735
420.0,31658.351916679272
430.0,31616.33717598418
440.0,31574.378194101657
450.0,31532.47489666292
460.0,31490.627210191993
470.0,31448.83506093291
480.0,179881.32782421284
490.0,183166.32228448614
500.0,186433.24387638303
510.0,189672.92402138017
520.0,192884.6600277256
530.0,196067.84336927664
540.0,199221.95968549963
550.0,202346.58878146988
560.0,205441.40462787182
570.0,208506.17536099892
580.0,211535.66108122817
590.0,214531.97940369844
600.0,217495.09156240264
610.0,220424.61435006873
620.0,223320.22173946645
630.0,226181.64488340737
640.0,229008.67211474502
650.0,231801.1489463747
660.0,212348.70997025067
670.0,212066.88646375554
680.0,211785.44116224578
690.0,211504.37406572138
700.0,211223.68517418238
710.0,210943.3698197718
720.0,210663.42315442424
