Time (d),Am241
0.0,0.0
10.0,2.435033078732908e-06
20.0,6.673436697859568e-05
30.0,0.00045527211061467557
40.0,0.001769994868785808
50.0,0.00506534728730193
60.0,0.011946710092034721
70.0,0.024655265068985313
80.0,0.0461408600461507
90.0,0.08012465480590304
100.0,0.1311501409643294
110.0,0.2046239728832163
120.0,0.3068483721409605
130.0,0.4450430015268531
140.0,0.6273680818972781
150.0,0.8629252949060079
160.0,1.161774029787984
170.0,1.5349174366541942
180.0,9.432670778812458
190.0,9.865738799470964
200.0,10.298212536055807
210.0,10.73009277811653
220.0,11.16138031415482
230.0,11.59207593162587
240.0,150.01866081301804
250.0,165.28081538003434
260.0,181.5366699524701
270.0,198.80275225772456
280.0,217.09699053661973
290.0,236.43622464190778
300.0,256.83620603827137
310.0,278.3137068784954
320.0,300.88927316114297
330.0,324.5726348679677
340.0,349.37673529183905
350.0,375.3135766975227
360.0,402.39422032168034
370.0,430.6316221173224
380.0,460.03939455166613
390.0,490.62533459716025
400.0,522.3987684875468
410.0,555.3683163014505
420.0,2368.622817050604
430.0,2410.532727469506
440.0,2452.3850418420425
450.0,2494.1798370745555
460.0,2535.917189150103
470.0,2577.597174341264
480.0,5606.847873326657
490.0,5736.923831890763
500.0,5868.706313668256
510.0,6002.228125076207
520.0,6137.412134708165
530.0,6274.17998832511
540.0,6412.452108855444
550.0,6552.147696394996
560.0,6693.184728207022
570.0,6835.479958722207
580.0,6979.122400174276
590.0,7123.952879859607
600.0,7269.887523382841
610.0,7416.8561466469655
620.0,7564.788600273603
630.0,7713.614769603014
640.0,7863.2645746940925
650.0,8013.667970324374
660.0,27414.403262389693
670.0,27695.018282588488
680.0,27975.242653340767
690.0,28255.076374646527
700.0,28534.51944650577
710.0,28813.576696041764
720.0,29092.253136734922
