U234	U235	U236	U237	U238	U239	Np236	Np237	Np238	Np239	Pu238	Pu239	Pu240	Pu241	Pu242	Pu243	Am241	Am242	Am243
6.4204E-03	2.1116E-03	3.9909E-03	3.8245E-03	5.3129E-04	1.6382E-03	1.1309E-03	8.2114E-03	9.7401E-04	8.4454E-04	1.1281E-03	6.4177E-04	3.6015E-03	5.80E-03	7.91E-04	3.03E-03	1.15E-03	2.11E-03	5.09E-03
7.1075E-03	2.2000E-03	4.2752E-03	4.1732E-03	5.3368E-04	1.6178E-03	1.0122E-03	8.7630E-03	8.6299E-04	7.9311E-04	1.3532E-03	6.2210E-04	4.0025E-03	6.48E-03	7.70E-04	3.19E-03	1.39E-03	2.11E-03	5.48E-03
7.9717E-03	2.3502E-03	4.5926E-03	4.6239E-03	5.7190E-04	1.6148E-03	9.1140E-04	9.4187E-03	7.7171E-04	7.6606E-04	1.6741E-03	6.1055E-04	4.4399E-03	7.20E-03	7.70E-04	3.34E-03	1.72E-03	2.13E-03	5.95E-03
8.6341E-03	2.4931E-03	4.8552E-03	4.9914E-03	6.2309E-04	1.6209E-03	8.5485E-04	9.9064E-03	7.2111E-04	7.6094E-04	1.8938E-03	6.0851E-04	4.7523E-03	7.71E-03	7.91E-04	3.44E-03	2.00E-03	2.16E-03	6.30E-03
9.1853E-03	2.6007E-03	5.0954E-03	5.2992E-03	6.6678E-04	1.6294E-03	8.1716E-04	1.0178E-02	6.8693E-04	7.6267E-04	2.0927E-03	6.0993E-04	5.0065E-03	8.13E-03	8.13E-04	3.51E-03	2.27E-03	2.18E-03	6.60E-03
1.0208E-02	2.9149E-03	5.5301E-03	5.9704E-03	7.8710E-04	1.6731E-03	7.7322E-04	1.0760E-02	6.4413E-04	7.9347E-04	2.5244E-03	6.2678E-04	5.4829E-03	8.89E-03	8.81E-04	3.62E-03	2.85E-03	2.25E-03	7.18E-03
1.1593E-02	3.4068E-03	6.0969E-03	6.8922E-03	9.9591E-04	1.7820E-03	7.3275E-04	1.1565E-02	6.0183E-04	8.5463E-04	3.1753E-03	6.6069E-04	6.0814E-03	9.88E-03	9.97E-04	3.75E-03	3.68E-03	2.33E-03	7.98E-03
1.3205E-02	4.0096E-03	6.8492E-03	8.0503E-03	1.2585E-03	1.9657E-03	7.0922E-04	1.2438E-02	5.7083E-04	9.6483E-04	4.0312E-03	7.2100E-04	6.7534E-03	1.10E-02	1.19E-03	3.88E-03	4.81E-03	2.46E-03	8.94E-03
1.5060E-02	4.5918E-03	7.7911E-03	9.4593E-03	1.6346E-03	2.2299E-03	7.0534E-04	1.3406E-02	5.5939E-04	1.1382E-03	5.1052E-03	8.0647E-04	7.5070E-03	1.22E-02	1.47E-03	3.99E-03	6.35E-03	2.62E-03	1.01E-02
1.7128E-02	5.3471E-03	8.8448E-03	1.1043E-02	2.0719E-03	2.5823E-03	7.1660E-04	1.4557E-02	5.6313E-04	1.3879E-03	6.4493E-03	9.1551E-04	8.3190E-03	1.35E-02	1.85E-03	4.10E-03	8.19E-03	2.81E-03	1.13E-02
