U235,U236,U237,U239,Np238,Pu239,Pu240,Pu241,Pu242,Pu243,Am242,Am243
0.048966,0.05044,0.059046,0.037867,0.0087404,0.011105,0.044888,0.060148,0.048214,0.012313,0.014565,0.064951
0.052782,0.054362,0.061342,0.041252,0.0099456,0.012534,0.048876,0.064468,0.052134,0.013238,0.01558,0.069242
0.057092,0.058996,0.063975,0.045134,0.011603,0.014308,0.05431,0.070251,0.057264,0.0143,0.016815,0.074576
0.061525,0.063495,0.066192,0.049085,0.013472,0.016061,0.059126,0.075705,0.062395,0.015309,0.01803,0.080116
0.066416,0.068323,0.067748,0.053343,0.015458,0.01784,0.063228,0.080904,0.067081,0.01627,0.019253,0.085749
0.071084,0.07364,0.069213,0.057502,0.017605,0.01957,0.067074,0.086441,0.071759,0.017183,0.020464,0.091597
0.074928,0.079322,0.070606,0.061723,0.019896,0.02131,0.069771,0.092351,0.075921,0.018052,0.021746,0.097789
0.077667,0.085257,0.071931,0.065709,0.022327,0.022982,0.071331,0.098389,0.080192,0.018878,0.02299,0.10444
0.080512,0.091366,0.073191,0.06948,0.024873,0.024691,0.072783,0.10166,0.083682,0.019668,0.024386,0.11178
0.083765,0.098462,0.074396,0.073069,0.027534,0.026447,0.074256,0.1043,0.087055,0.021652,0.025774,0.11988
0.086865,0.10805,0.075545,0.076569,0.03031,0.028239,0.075769,0.107,0.090564,0.024497,0.027165,0.12883
0.089783,0.11943,0.076638,0.080175,0.033177,0.030146,0.077311,0.10955,0.094205,0.027204,0.028703,0.13865
0.092556,0.13141,0.077678,0.083626,0.036138,0.032066,0.078863,0.11118,0.097704,0.029779,0.030182,0.14939
0.095197,0.14295,0.078667,0.087048,0.039233,0.034049,0.080393,0.1121,0.10119,0.032228,0.031668,0.1612
0.0983,0.15309,0.079609,0.090383,0.042414,0.03618,0.081933,0.11194,0.10524,0.034559,0.03341,0.17485
0.10377,0.16624,0.080934,0.095078,0.047451,0.039634,0.084319,0.11155,0.11191,0.037842,0.035914,0.19808
0.10838,0.1776,0.082475,0.099201,0.052367,0.043167,0.0868,0.11129,0.11503,0.042726,0.03836,0.22158
0.11101,0.18437,0.084239,0.10194,0.055889,0.045992,0.088998,0.11129,0.11771,0.049902,0.040472,0.23845
0.11374,0.18954,0.086158,0.10485,0.059915,0.049233,0.091443,0.11129,0.12258,0.054126,0.042919,0.25686
0.11665,0.19307,0.088032,0.10747,0.06378,0.052682,0.093773,0.11133,0.12504,0.05208,0.045566,0.27386
0.12002,0.19625,0.089858,0.11005,0.067896,0.05614,0.096169,0.11239,0.12695,0.050028,0.048157,0.2902
0.12369,0.1989,0.091837,0.11258,0.072269,0.060457,0.098668,0.11479,0.12843,0.048076,0.051029,0.30598
0.12773,0.20035,0.093762,0.11498,0.076934,0.064741,0.10145,0.11779,0.12848,0.046219,0.054118,0.32026
0.13172,0.19995,0.095723,0.11726,0.08155,0.069431,0.10449,0.12068,0.12842,0.048203,0.057338,0.33316
0.13563,0.19705,0.097835,0.11943,0.085787,0.075065,0.10762,0.12324,0.12813,0.057252,0.06071,0.34537
