U234	U235	U236	U237	U238	U239	Np236	Np237	Np238	Np239	Pu238	Pu239	Pu240	Pu241	Pu242	Pu243	Am241	Am242	Am243
5.8260E-01	8.7926E-01	9.1416E-01	1.4025E+00	1.4556E+00	1.7750E+00	3.0994E-01	5.2949E-01	7.0382E-01	1.3568E+00	9.4422E-02	3.1589E-01	6.3527E-01	5.1481E-01	9.0300E-01	6.6420E-01	2.5138E-01	4.8719E-01	3.8833E-01
5.3886E-01	8.7211E-01	8.8782E-01	1.5261E+00	1.4578E+00	1.9062E+00	2.9894E-01	5.0851E-01	7.0526E-01	1.3309E+00	8.5687E-02	3.3704E-01	5.8793E-01	5.4865E-01	8.6732E-01	1.2340E+00	2.4214E-01	5.1666E-01	3.7313E-01
4.8811E-01	8.4280E-01	8.6319E-01	1.5850E+00	1.4460E+00	1.9742E+00	2.8765E-01	4.8367E-01	6.8775E-01	1.3000E+00	7.9128E-02	3.3466E-01	5.4302E-01	5.7287E-01	8.2273E-01	1.2592E+00	2.3109E-01	5.0710E-01	3.5433E-01
4.3605E-01	8.0721E-01	8.3851E-01	1.6091E+00	1.4308E+00	2.0077E+00	2.7598E-01	4.5445E-01	6.6959E-01	1.2579E+00	7.3319E-02	3.1258E-01	5.0154E-01	5.9679E-01	7.7908E-01	1.2658E+00	2.1705E-01	4.7274E-01	3.2888E-01
3.7954E-01	7.6676E-01	8.1040E-01	1.6161E+00	1.4082E+00	2.0131E+00	2.6353E-01	4.2103E-01	6.5718E-01	1.1991E+00	6.6950E-02	2.8806E-01	4.6299E-01	6.2409E-01	7.3486E-01	1.2719E+00	1.9864E-01	4.3102E-01	2.9637E-01
3.2011E-01	7.1914E-01	7.7448E-01	1.6103E+00	1.3677E+00	2.0065E+00	2.5021E-01	3.7617E-01	6.4946E-01	1.1135E+00	5.8470E-02	2.6609E-01	4.2345E-01	6.4691E-01	6.8056E-01	1.2778E+00	1.7587E-01	3.8919E-01	2.5602E-01
2.6165E-01	6.6532E-01	7.2473E-01	1.5953E+00	1.3082E+00	2.0094E+00	2.3465E-01	3.1879E-01	6.4337E-01	9.9652E-01	4.7657E-02	2.4615E-01	3.8028E-01	6.7185E-01	6.1443E-01	1.2835E+00	1.4809E-01	3.4902E-01	2.0920E-01
2.0377E-01	6.0830E-01	6.5056E-01	1.5716E+00	1.2183E+00	2.0109E+00	2.1521E-01	2.4795E-01	6.3360E-01	8.4515E-01	3.4071E-02	2.2452E-01	3.2798E-01	6.9651E-01	5.3669E-01	1.2889E+00	1.1558E-01	3.1156E-01	1.5887E-01
1.3872E-01	5.5027E-01	5.3934E-01	1.5354E+00	1.0937E+00	1.9870E+00	1.9147E-01	1.6700E-01	6.1670E-01	6.6536E-01	1.9131E-02	1.9813E-01	2.5571E-01	7.1944E-01	4.6729E-01	1.2940E+00	8.0591E-02	2.7723E-01	1.1016E-01
6.4500E-02	4.9725E-01	3.7766E-01	1.4833E+00	9.2342E-01	1.9549E+00	1.6197E-01	8.8923E-02	5.8533E-01	4.6327E-01	5.9293E-03	1.7652E-01	1.5867E-01	7.3959E-01	3.6357E-01	1.3011E+00	4.6487E-02	2.4669E-01	6.7229E-02
1.3059E-02	4.4693E-01	1.8260E-01	1.4144E+00	6.7550E-01	1.9056E+00	1.2793E-01	3.4317E-02	5.3895E-01	2.6755E-01	3.3243E-05	1.5588E-01	6.1972E-02	7.3224E-01	2.2728E-01	1.3556E+00	1.7133E-02	2.1956E-01	3.3071E-02
2.4627E-04	3.9129E-01	3.4922E-02	1.3221E+00	3.9529E-01	1.8279E+00	9.1497E-02	4.6173E-03	4.7421E-01	1.1372E-01	4.4482E-19	1.2960E-01	1.0180E-02	6.9399E-01	1.0273E-01	1.3994E+00	1.8090E-03	1.9193E-01	1.0642E-02
0.0000E+00	3.5153E-01	1.0244E-03	1.2432E+00	2.0434E-01	1.7547E+00	6.6329E-02	6.5881E-04	4.1800E-01	4.9075E-02	0.0000E+00	1.0756E-01	6.4619E-04	6.5846E-01	4.2022E-02	1.4000E+00	1.3024E-06	1.7192E-01	4.2231E-03
0.0000E+00	3.2184E-01	2.8230E-06	1.1667E+00	7.7084E-02	1.6949E+00	4.8416E-02	0.0000E+00	3.6763E-01	1.1327E-02	0.0000E+00	8.6724E-02	1.6183E-05	6.2522E-01	6.8423E-03	1.3926E+00	0.0000E+00	1.5338E-01	5.9156E-04
0.0000E+00	2.5055E-01	0.0000E+00	9.5301E-01	4.5784E-03	1.5462E+00	2.3381E-02	0.0000E+00	2.4311E-01	7.3071E-04	0.0000E+00	4.8715E-02	0.0000E+00	5.4412E-01	3.2802E-05	1.3432E+00	0.0000E+00	1.0471E-01	0.0000E+00
0.0000E+00	1.4378E-01	0.0000E+00	6.6218E-01	0.0000E+00	1.2340E+00	2.6561E-03	0.0000E+00	1.1508E-01	0.0000E+00	0.0000E+00	1.2360E-02	0.0000E+00	4.0791E-01	0.0000E+00	1.2638E+00	0.0000E+00	4.5118E-02	0.0000E+00
0.0000E+00	3.4020E-02	0.0000E+00	3.1005E-01	0.0000E+00	8.3783E-01	1.5752E-06	0.0000E+00	3.2317E-02	0.0000E+00	0.0000E+00	1.0059E-04	0.0000E+00	2.3555E-01	0.0000E+00	9.9822E-01	0.0000E+00	3.6659E-03	0.0000E+00
0.0000E+00	9.3546E-04	0.0000E+00	9.0021E-02	0.0000E+00	4.7061E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	5.4436E-02	0.0000E+00	4.2459E-01	0.0000E+00	0.0000E+00	0.0000E+00
0.0000E+00	0.0000E+00	0.0000E+00	4.2974E-03	0.0000E+00	1.4332E-01	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	0.0000E+00	5.3245E-02	0.0000E+00	0.0000E+00	0.0000E+00
