Time (d),U234,U235,U236,U237,U238,U239,Np236,Np237,Np238,Np239,Pu238,Pu239,Pu240,Pu241,Pu242,Pu243,Am241,Am242,Am243
0.0,0.0,71.0,0.0,0.0,9929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,0.0,69.42662133041992,0.2647770446840735,0.05305638046413307,9832.929730665961,0.05188206793407195,1.592735038786167e-08,0.03159926926486461,6.424983434676155e-05,7.0900799566009995,6.257953850577053e-05,14.827758256936741,0.06221273639682867,7.880585565838804e-05,6.278068600082092e-08,4.969423524454922e-12,2.7387405351840495e-08,7.335491291385334e-11,3.3558534190783126e-11
20.0,0.0,67.88810914588097,0.5208231131117187,0.07204762668758385,9737.78901079812,0.05138007508718875,1.024699605437866e-07,0.09624613525108586,0.00025703468683067394,7.387383787892151,0.0005606741311228871,35.819861719896,0.20972027098815446,0.0005331129122985142,8.589148424520185e-07,7.184013838868861e-11,3.7401600395129727e-07,2.019652227080701e-09,9.930118390620167e-10
30.0,0.0,66.38369079590858,0.7683626529357928,0.07882760214729091,9643.568846331867,0.050882937383869384,2.8559230663047003e-07,0.17167295122457693,0.000504123902077542,7.336551353260623,0.0017806819905793613,56.48725344876324,0.4291124560413556,0.0016204501985442063,3.9177370894895655e-06,3.3374449908087585e-10,1.7029211581286858e-06,1.3787792910895224e-08,6.963571032645711e-09
40.0,0.0,64.91261075218489,1.0076148030902425,0.0812119549480082,9550.260330226698,0.05039060850790732,5.712815816227075e-07,0.24992537875398899,0.0007675541353635567,7.262395139154312,0.003815350230147959,76.5214796594577,0.7166896109371388,0.003568481959231391,1.1477108862728735e-05,9.8670283195804e-10,4.979861057970853e-06,5.358513338075319e-08,2.748125173224541e-08
50.0,0.0,63.47413022906182,1.2387935150725025,0.0820325682657194,9457.854641624146,0.04990304285553752,9.585306018540705e-07,0.32813070565782176,0.0010332912814261458,7.201234218246619,0.006678101009599204,95.90224019576912,1.0692973468513456,0.006586980506029033,2.6410595581255578e-05,2.2830810092801114e-09,1.1439143366667666e-05,1.5323604721932147e-07,7.94319785974013e-08
60.0,0.0,62.06752681264322,1.462107671447213,0.08227182095682861,9366.343045014,0.04942019473076019,1.4438296618369263e-06,0.4053022216409121,0.0012962868410991068,7.1229026397984105,0.010353243817840859,114.67584877123109,1.483978768101111,0.01086905717115882,5.216892378348362e-05,4.5264045686379254e-09,2.2555978228051e-05,3.610557393705658e-07,1.8873017959394846e-07
70.0,0.0,60.69209409811154,1.6777612016771553,0.08227292990583839,9275.716889408655,0.04894201855277057,2.022899043336155e-06,0.481105166953632,0.0015550255421450286,7.052384030685817,0.014815043375243054,132.83285300717782,1.9577833011347663,0.01659218056782802,9.272468586388839e-05,8.066461798124106e-09,4.0020500866094876e-05,7.443023906444098e-07,3.9180459971474346e-07
80.0,0.0,59.34714133445634,1.8859531955548523,0.08220471962044955,9185.967607524753,0.04846846906515286,2.6913522315132734e-06,0.5553828464823836,0.0018087083858345178,6.994785381537018,0.020035757922709934,150.38319999538695,2.48788036993809,0.023918792741220603,0.00015252013921557912,1.3294683897136575e-08,6.571336230533562e-05,1.3912699234298105e-06,7.369171933476046e-07
90.0,0.0,58.03199307768594,2.086878013884683,0.08212065746077013,9097.086714973419,0.04799950150727013,3.444777264775979e-06,0.6280964198319614,0.0020570047708153437,6.927722397310722,0.02598654353814621,167.36414703730145,3.071568602854533,0.032997017650552955,0.00023641791807503285,2.0639781809108593e-08,0.000101682830899346,2.412988376534374e-06,1.2852974208654997e-06
