U234,U235,U236,U238,U239,Np236,Np237,Np238,Np239,Pu238,Pu239,Pu240,Pu241,Pu242,Pu243,Am241,Am242,Am243
5.565,66.295,0.072787,0.67889,90.218,74.12,120.0,71.122,65.282,0.1417,36.748,0.27847,116.44,2.7206,64.463,69.821,95.306,58.864
0.18326,114.65,0.045587,263.52,91.728,113.12,60.126,80.636,74.573,175.03,109.05,98.443,100.93,6.623,85.237,19.627,151.73,50.153
0.17662,51.22,0.068505,0.43361,121.44,214.69,41.638,91.422,85.103,1.1002,194.69,0.28597,320.49,4.7497,128.76,144.7,179.65,71.76
0.33963,113.56,0.1391,0.32938,126.51,197.13,167.96,103.65,97.075,0.41763,261.79,0.25914,172.01,0.12107,99.964,38.06,173.4,209.74
0.85126,148.66,0.39212,0.85606,154.88,132.74,87.034,117.41,110.61,34.043,21.259,0.37374,243.64,0.19546,141.35,101.12,132.73,62.434
3.4991,31.834,2.1423,506.29,20.72,155.8,34.888,139.49,125.64,0.25749,163.75,0.62848,282.27,0.41267,214.91,27.512,461.24,343.46
2022.7,68.387,1123.6,10.499,244.38,152.28,166.25,115.06,142.38,0.248,9.6112,1.1543,309.76,1.037,19.81,241.42,71.592,108.66
111.15,25.142,11.254,1.1042,42.972,131.77,39.701,174.28,161.16,0.45657,9.9502,2.2752,472.36,3.4427,438.31,146.64,74.876,13.237
8.0155,49.959,2.3436,0.59423,505.34,210.2,122.42,208.23,182.21,4.0135,11.86,4.8396,58.858,24.426,28.788,27.279,424.22,221.03
5.2639,17.4,1.3992,0.48175,11.593,345.75,3.7327,229.22,205.83,141.76,14.717,11.402,34.017,4156.5,16.676,217.11,148.13,11.609
5.1367,28.63,1.1162,0.44777,11.446,365.47,39.192,285.73,232.14,2.0612,18.687,31.612,25.26,54.683,71.663,327.12,430.83,48.597
5.8743,18.856,1.0215,0.44714,54.479,270.61,453.74,308.16,261.48,1.6071,24.361,121.67,28.216,15.442,1662.7,78.432,108.6,918.11
7.1686,62.244,1.0082,0.46577,2642.4,271.45,284.28,721.35,294.47,2.0914,33.123,1732.3,31.926,9.5197,100.54,1759.0,107.64,5250.6
8.9416,87.669,1.0419,0.49791,97.222,343.01,21.53,882.87,331.78,3.1546,48.3,30344.0,34.097,7.5618,48.947,109.84,170.45,237.26
11.162,64.884,1.1079,0.54173,30.907,669.22,25.456,513.81,375.71,4.9861,79.08,748.74,40.539,6.809,45.163,122.99,320.88,61.059
13.842,77.625,1.2008,0.59641,20.362,690.95,141.66,462.82,425.72,7.9621,156.66,298.01,58.807,6.5978,49.149,2190.8,615.23,41.003
16.971,106.14,1.3174,0.66157,16.919,611.29,1065.2,535.7,480.9,12.607,431.45,199.49,124.21,6.6981,56.438,565.84,1030.2,51.432
31.654,231.01,1.9293,0.98762,16.877,1179.5,72.202,966.65,28.88,56.692,1958.9,153.53,1188.4,8.5897,97.711,1145.7,1445.0,39.085
76.76,510.81,4.0238,2.0813,29.194,2347.8,131.58,2081.9,34.837,289.01,859.89,233.35,1090.7,16.682,231.1,520.6,1932.2,63.606
