U234,U235,U236,U238,U239,Np236,Np237,Np238,Np239,Pu238,Pu239,Pu240,Pu241,Pu242,Pu243,Am241,Am242,Am243
3.6481,3.455,3.4561,3.5518,3.6678,3.436,3.6055,3.5443,3.4979,3.7947,3.6119,3.7484,3.6227,3.7561,3.3816,3.5341,3.4061,3.333
3.7101,3.478,3.5169,3.5838,3.7015,3.4718,3.6687,3.5924,3.5433,3.8247,3.666,3.7674,3.6618,3.8053,3.4192,3.5656,3.4415,3.3585
3.736,3.493,3.5663,3.6068,3.7247,3.4956,3.7114,3.6227,3.5723,3.8464,3.7032,3.7809,3.6785,3.839,3.4429,3.5833,3.4678,3.3758
3.733,3.5084,3.6135,3.636,3.7433,3.5188,3.747,3.6543,3.6027,3.8702,3.7397,3.793,3.6878,3.8609,3.466,3.5988,3.4939,3.3912
3.7289,3.5182,3.6634,3.6624,3.7562,3.5412,3.7715,3.6879,3.6349,3.8898,3.7696,3.802,3.685,3.8677,3.4887,3.6066,3.5189,3.4043
3.7253,3.5225,3.7353,3.6911,3.7685,3.5619,3.779,3.7191,3.6647,3.9051,3.7896,3.803,3.6522,3.8784,3.5104,3.6048,3.5412,3.4171
3.7177,3.5211,3.8141,3.7174,3.7801,3.5785,3.7678,3.7468,3.6905,3.9193,3.8079,3.7979,3.6024,3.8952,3.531,3.5934,3.5628,3.4281
3.7068,3.5168,3.869,3.7404,3.7848,3.5891,3.7589,3.7669,3.7089,3.9289,3.8186,3.8087,3.5714,3.9066,3.5474,3.5716,3.5811,3.4338
3.6995,3.5152,3.8911,3.7474,3.7838,3.5937,3.7617,3.7763,3.7173,3.9307,3.8232,3.8194,3.5566,3.9116,3.5553,3.5573,3.5892,3.4352
3.6959,3.5138,3.8987,3.7474,3.7824,3.5956,3.7644,3.7801,3.7206,3.9303,3.8252,3.8252,3.5488,3.9137,3.5585,3.5505,3.592,3.4354
3.691,3.5111,3.9094,3.7474,3.7803,3.5985,3.7692,3.7857,3.7256,3.9297,3.8282,3.8339,3.5372,3.9168,3.5631,3.5402,3.5961,3.4357
3.6813,3.5057,3.929,3.7473,3.7745,3.6006,3.7741,3.7933,3.7318,3.9269,3.8343,3.8475,3.5144,3.9203,3.5723,3.5195,3.6042,3.4364
3.6669,3.4957,3.9539,3.7456,3.7647,3.5995,3.7688,3.8015,3.7373,3.9181,3.8418,3.8585,3.4741,3.9227,3.587,3.4843,3.6137,3.4349
3.6476,3.4772,3.9671,3.7425,3.7459,3.5994,3.7556,3.8114,3.7438,3.9049,3.8443,3.8617,3.4193,3.9264,3.6039,3.4472,3.616,3.4263
3.624,3.4512,3.9656,3.7351,3.7216,3.5958,3.7288,3.8166,3.7452,3.8844,3.8393,3.8417,3.3751,3.9216,3.6281,3.4193,3.6153,3.4149
3.5902,3.4126,3.9508,3.7116,3.6841,3.5826,3.6889,3.8113,3.7353,3.8464,3.8185,3.7944,3.3417,3.8997,3.6671,3.3941,3.6098,3.3981
3.5356,3.3752,3.9243,3.6721,3.6373,3.5654,3.6654,3.801,3.72,3.8058,3.7979,3.7366,3.2969,3.8757,3.7045,3.3641,3.6042,3.3822
3.4662,3.3385,3.8685,3.6198,3.5776,3.5423,3.6216,3.7829,3.6964,3.7632,3.7764,3.6763,3.2739,3.8448,3.7401,3.3209,3.598,3.367
3.3746,3.303,3.7636,3.5713,3.5177,3.5172,3.5827,3.7622,3.6695,3.7087,3.7503,3.6143,3.3151,3.8137,3.774,3.2623,3.5922,3.3536
3.2877,3.2653,3.7133,3.5284,3.451,3.4885,3.5355,3.7357,3.6366,3.6678,3.7087,3.5561,3.3455,3.7694,3.8062,3.1889,3.5888,3.3464
3.2029,3.2255,3.6884,3.499,3.3807,3.4583,3.4915,3.707,3.6006,3.6264,3.6604,3.4969,3.3886,3.7418,3.8327,3.1073,3.588,3.3466
3.1386,3.1887,3.6322,3.4249,3.3062,3.4282,3.4507,3.6776,3.5633,3.5682,3.6072,3.4532,3.4373,3.7315,3.8545,3.0414,3.5866,3.3535
3.0939,3.1569,3.5248,3.3553,3.2291,3.3983,3.4027,3.6466,3.5239,3.5096,3.54,3.4156,3.4622,3.7232,3.8752,3.0166,3.5785,3.3672
3.0212,3.127,3.383,3.2837,3.1568,3.3691,3.3634,3.6162,3.4827,3.4658,3.4804,3.3896,3.4773,3.6979,3.8929,3.0092,3.5717,3.3761
2.9499,3.0985,3.2438,3.2171,3.0953,3.3416,3.311,3.5871,3.4415,3.4102,3.4302,3.3708,3.488,3.66,3.8844,2.9999,3.5641,3.3802
