Time (d),U239,U234,U235,U236,U237,U238,Np236,Np237,Np238,Np239,Pu238,Pu239,Pu240,Pu241,Pu242,Pu243,Am241,Am242,Am243
0.0,0.0,0.0,56.3,0.0,0.0,7873.699999999999,0.0,0.0,0.0,0.0,0.0,1345.5,517.5,144.9,62.1,0.0,0.0,0.0,0.0
10.0,17.404738270552315,0.0,55.052377197737044,1.0418346948284836,0.04065006763075428,7797.516247400771,1.243243750880896e-08,0.024539396047902087,5.00677307959887e-05,1707.1375352609557,4.893268407016179e-05,3308.181765201828,523.4214049613992,142.6919035891382,61.85344160403757,0.005467272955135592,0.1890902249211641,0.0012229315382144966,0.17667971436130525
20.0,34.2849255199452,0.0,53.832402043419386,2.0605820601111424,0.05282235527807083,7722.069627802074,7.870677010450797e-08,0.07295197135409376,0.00019596249967980032,4115.977875988419,0.00043213454840125006,11713.533518512773,565.0945558934823,140.6209134653777,61.60309064890866,0.00544512906047657,0.3716844424108252,0.00479022864480753,0.354525207582458
30.0,50.67038569341954,0.0,52.63946185815159,3.0567537168703955,0.054850622613218214,7647.353008911537,2.1552387897247712e-07,0.12672359085868692,0.0003747113597486673,6493.561890743327,0.0013496675471440713,26926.08534375787,667.2775997765633,138.8536294093417,61.349634956524305,0.005422732326869857,0.5481900549013681,0.010556162579468502,0.5281293064481741
40.0,66.57860369930815,0.0,51.472957539441836,4.0308499491343275,0.053279317785914465,7573.359327442109,4.231693155748641e-07,0.17935504012007708,0.0005550714373587248,8804.814555649733,0.002840205717548437,48629.0867867741,852.1074306122694,137.63342726161153,61.094376937108265,0.00540017351164834,0.7192773511511491,0.0183858473512778,0.697574295431042
50.0,82.02250133942431,0.0,50.332303473809894,4.98335977685413,0.050429129391957345,7500.081589561632,6.963519491870489e-07,0.22864846002278597,0.000726064930972334,11048.395092765499,0.004877660807472118,76486.11301382017,1140.1785371416408,137.27282957459144,60.83946246393474,0.005377641570038964,0.8859767477335728,0.028159239244053617,0.8629454047930689
60.0,97.01329321128772,0.0,49.21692747440288,5.914761007997214,0.04717553382971417,7427.512871521138,1.028177369934477e-06,0.27387446661248044,0.0008838399179959252,13225.815677718156,0.007415538772704625,110170.6254107979,1550.6301899676205,138.14711578530392,60.588102999351875,0.005355412267308714,1.0497720076954442,0.03977666519276135,1.024334065377726
70.0,111.56146933275221,0.0,48.12626859137229,6.8255220670049805,0.04387018416994756,7355.646308961578,1.4113855959555585e-06,0.314833566737216,0.0010271531122502218,15339.242995557057,0.01040130820739977,149365.722526839,2101.409859618896,140.67960968107258,60.344561548008485,0.00533386116868839,1.2125924470387548,0.05316073251854278,1.1818397660057591
80.0,125.67701729247531,0.0,47.05977875592532,7.716100621918174,0.040584011008132304,7284.475106273732,1.8387497016547347e-06,0.35160770382182766,0.0011561795038515193,17390.101689003153,0.013780658876324868,193766.8386453365,2809.1219868848366,145.34476032921322,60.11444101618563,0.005313479797725236,1.3769331313661524,0.06826493442728111,1.3355742898401255
90.0,139.36959891010443,0.0,46.01692568178094,8.586941161499116,0.03732689052187977,7213.992553498624,2.303475623368967e-06,0.38433524876088354,0.0012713796963116026,19379.630977605546,0.01750167709736773,243083.53552689333,3688.7673184963974,152.67163708973584,59.90524514566189,0.005294927144337228,1.5460867007175139,0.085093026474671,1.4856716226546112
