Time (d),U239,U234,U235,U236,U237,U238,Np236,Np237,Np238,Np239,Pu238,Pu239,Pu240,Pu241,Pu242,Pu243,Am241,Am242,Am243
0.0,0.0,0.0,71.0,0.0,0.0,9929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,21.94796460278686,0.0,69.42662133041965,1.3138590311075302,0.051266218966981324,9832.929730665952,1.568507877762761e-08,0.03093967290291091,6.314304008608719e-05,2151.9863559935,6.175777170083737e-05,2512.650088978694,9.502569660366138,0.008851145198122698,5.580181600648203e-06,4.298938344437194e-10,2.435033078732908e-06,5.4067940678766375e-09,2.4083364146646186e-09
20.0,43.23443723355278,0.0,67.8881091458803,2.598602600603864,0.06660570910606076,9737.789010798111,9.924470302036914e-08,0.09199963071499534,0.0002471132872914242,5191.105917270053,0.0005448819278175243,13146.66473874174,64.1887462883157,0.12028380239306777,0.00015315845876943772,1.262969650825976e-08,6.673436697859568e-05,2.982638132894874e-07,1.4445346368597118e-07
30.0,63.89702773404298,0.0,66.38369079590699,3.854875914772781,0.06913878267253598,9643.568846331857,2.717395046829865e-07,0.15983289774085613,0.0004726325115020943,8189.724221755215,0.0017015268649609454,32365.099142111536,195.28052276842504,0.5467040252346376,0.001046428732467849,8.829708283868331e-08,0.00045527211061467557,3.0537782281350244e-06,1.5252506073049868e-06
40.0,83.95781099960243,0.0,64.91261075216852,5.08330988195203,0.06714336787215253,9550.260330226674,5.335665163693019e-07,0.22621806990840437,0.0007001658557919525,11103.780953398087,0.0035808882048419697,59768.35642844726,430.68899776033345,1.5972592243060573,0.004074314256381752,3.4777329684983344e-07,0.001769994868785808,1.579989513425111e-05,8.027633245861263e-06
50.0,103.43312387163975,0.0,63.47413022906831,6.284521429361363,0.06358251375614773,9457.854641624142,8.78090984917888e-07,0.2883556684446505,0.0009156864854059124,13932.497946967773,0.006150559825460309,94931.04336609207,796.408089217342,3.6669797426360464,0.011677034525657297,1.0036540220548044e-06,0.00506534728730193,5.6361791033608616e-05,2.89697822983975e-05
60.0,122.33708963450678,0.0,62.067526812617,7.459113813014341,0.05952864448680594,9366.343045013968,1.2965732612171548e-06,0.3453401064536026,0.0011144081680505783,16678.14850068031,0.00935152281163058,137440.30247054098,1316.6549089496698,7.227961937791014,0.027580963169375965,2.3816235929247167e-06,0.011946710092034721,0.00015900098565120707,8.24463286807292e-05
70.0,140.68284605718773,0.0,60.692094097826526,8.607676920514683,0.055353353382624836,9275.716889408362,1.7797618241211044e-06,0.39700950878190705,0.0012951975861221407,19343.843548770692,0.013116287773659427,186897.10327358343,2013.9464622190883,12.821147258790646,0.057004172725752714,4.93869283967124e-06,0.024655265068985313,0.0003815958948707739,0.00019929393825550006
80.0,158.4830040904179,0.0,59.34714133407948,9.730787567192683,0.05116868474691246,9185.967607524366,2.3186095181667818e-06,0.4434355364004176,0.0014581536077612899,21929.885447276156,0.017376988882360497,242919.2531314419,2909.1757203528286,21.048573484757153,0.10683590448938399,9.27912790071654e-06,0.0461408600461507,0.0008136135257855852,0.00042755735760755404
90.0,175.74987725724372,0.0,58.03199307760429,10.829009786307731,0.04704537681198104,9097.086714973324,2.9045070921659975e-06,0.4847309151188226,0.0016035447094558974,24438.15419806771,0.02206832931042871,305136.51051801554,4021.6728010186534,32.56605479308043,0.18579371267258926,1.6168401802242193e-05,0.08012465480590304,0.001584659147266865,0.0008373421047130484
100.0,192.49548203102262,0.0,56.74598885236449,11.902895112224755,0.04300836826578843,9009.06580945891,3.5292516765566284e-06,0.5210479378586853,0.0017318287958439412,26871.45464702873,0.027127361219171447,373190.8381280531,5369.271384587336,48.07633276945238,0.30455509291772087,2.6544886465784928e-05,0.1311501409643294,0.0028735917190233894,0.0015260688443891708
110.0,208.73155759973935,0.0,55.48848281879503,12.95298285703792,0.039051266145131575,8921.896569983248,4.185039710321765e-06,0.5525781491593507,0.001843688879040303,29231.16761001755,0.03249343908698164,446738.36616136594,6968.37552601281,68.3226593665002,0.47586657815928557,4.1529549174714894e-05,0.2046239728832163,0.0049180016751033655,0.0026240233360599182
120.0,224.46959858996823,0.0,54.258843449531355,13.979800381354892,0.03516351138310062,8835.570756060362,4.864523385369264e-06,0.5795093455520173,0.0019397886056855213,31518.345438276385,0.038108950324913377,525447.8981047684,8834.01913745096,94.08276146218715,0.7146340222768937,6.243398281500088e-05,0.3068483721409605,0.008023851838783696,0.004300091916318033
130.0,239.72087112401127,0.0,53.05645321444249,14.983863357311858,0.03134144324346529,8750.080206939556,5.5608003554066706e-06,0.6020150072474153,0.0020207220587844014,33734.62489452562,0.04391932611728737,608999.6265757269,10979.92306062418,126.16329090105032,1.0379891905757441,9.076633754332114e-05,0.4450430015268531,0.012575185186801998,0.006767667090034017
140.0,254.49642887845644,0.0,51.88070826465247,15.96567603243322,0.027599352530811874,8665.416840827702,6.267418648667814e-06,0.6202393168704358,0.002086937270074647,35882.39694465039,0.049873197607073136,697084.5899459383,13418.553600276646,165.39421827360397,1.4653591206709315,0.00012823749783489038,0.6273680818972781,0.019043806087190224,0.010290524180961462
150.0,268.807079945295,0.0,50.73101813700402,16.92573147642099,0.023932919874472776,8581.572654133503,6.978278115242975e-06,0.6343445151416852,0.002139007799028804,37962.81621518438,0.05592138586338456,789406.3479859851,16161.178570753726,212.6242711945169,2.0184852475155908,0.00017676280987772355,0.8629252949060079,0.027998916356237382,0.015188970460504101
160.0,282.66342410451523,0.0,49.60680544525917,17.86451183901944,0.020351001960261215,8498.539720697709,7.687678879133062e-06,0.6444704065125028,0.0021773920216558453,39977.7358701495,0.062017561652402936,885678.670150732,19217.921110028678,268.7156807144291,2.721476956405674,0.00023846685823808932,1.161774029787984,0.0401165829641808,0.02184571423586148
170.0,296.0758182932152,0.0,48.507505599254706,18.78248858453602,0.016837900466478917,8416.310191053388,8.390224563773851e-06,0.6507839801674872,0.0022026986348754095,41927.97620166461,0.06811725056400614,985626.9734629916,22597.811206985356,334.5403509948852,3.600796802832888,0.0003156821898810021,1.5349174366541942,0.056189106186811104,0.030712086485991157
180.0,296.05883795854965,0.0,48.50750559729807,18.782488582920834,1.7244183095985794e-10,8416.310190906119,8.390205832827009e-06,0.6676218411075409,2.283401169031861e-13,42832.2369846425,0.07031993637878925,3252984.576815866,22597.81122057495,326.638254065299,3.6007968045696117,3.1836665229068124e-14,9.432670778812458,0.056189106312478955,0.031027768694243115
190.0,296.05883795975393,0.0,48.50750559718937,18.782488582831096,6.956005613965816e-11,8416.310190897937,8.390204792220208e-06,0.6676218412221151,2.2833983525877475e-13,42832.23698480869,0.07031993637942076,3378998.7336461605,22597.811221752312,326.2047627171084,3.600796804664835,3.1836665229910085e-14,9.865738799470964,0.056189106324846486,0.031027768695265495
200.0,296.05883796102506,0.0,48.50750559708067,18.782488582741365,3.299588684100901e-11,8416.310190889752,8.390203751613533e-06,0.6676218412703717,2.2833998816316975e-13,42832.23698498974,0.07031993638005225,3505012.8904766925,22597.811222974135,325.77184666819795,3.6007968047599266,3.183666523075087e-14,10.298212536055807,0.05618910633777579,0.03102776869628788
210.0,296.0588379623199,0.0,48.50750559697196,18.782488582651634,1.9906008798962553e-11,8416.310190881568,8.390202711006988e-06,0.6676218412951541,2.28339915359366e-13,42832.23698517604,0.07031993638068373,3631027.04730749,22597.811224240417,325.3395051550709,3.600796804854887,3.1836665231590516e-14,10.73009277811653,0.05618910635126608,0.03102776869731026
220.0,296.0588379636233,0.0,48.507505596863254,18.782488582561903,1.5247231812611968e-11,8416.310190873386,8.390201670400575e-06,0.6676218413115056,2.2833994291193693e-13,42832.23698536424,0.07031993638131526,3757041.2041385607,22597.811225551162,324.9077374152437,3.6007968049497157,3.1836665232428974e-14,11.16138031415482,0.056189106365316606,0.03102776869833263
230.0,296.0588379649297,0.0,48.507505596754555,18.782488582472173,1.3581615502373028e-11,8416.3101908652,8.390200629794285e-06,0.6676218413248638,2.2833993004508393e-13,42832.23698555311,0.07031993638194677,3883055.3609699095,22597.811226906368,324.47654268724466,3.6007968050444132,3.183666523326628e-14,11.59207593162587,0.05618910637992659,0.031027768699355005
240.0,506.142560565702,0.0,28.3293593426903,1.932609910944943,0.06342907337934159,6664.691482760521,4.504885575090178e-05,2.130881717093645,0.00720653832258082,72528.58179636612,0.39121826295008616,5630624.673095455,372151.972638818,13339.850890346004,347.95649226291596,0.030655890147074646,150.01866081301804,13.273362139078344,6.794477525569468
250.0,511.1958209246617,0.0,27.701589738072787,1.4083872426075206,0.06127195718472348,6600.205902000536,4.68664495322334e-05,2.152670431854357,0.007283228969488257,73266.99253648733,0.40834395146084396,5720408.339721482,388130.18325437664,14302.973460987121,385.9014195121902,0.034002854442759946,165.28081538003434,14.922842042985584,7.773294788218044
260.0,516.0126645952611,0.0,27.087711391136946,0.8957645499858834,0.059157059044699443,6536.344162150828,4.866464479714263e-05,2.1718687869984987,0.00735101085680006,73971.12368347732,0.4254172257453676,5810320.359205865,404237.76534308743,15295.45593374188,426.39216469050837,0.03757465627899226,181.5366699524701,16.727072847245335,8.851752632161865
270.0,520.5986990119516,0.0,26.48743035351126,0.3944963697786266,0.05708239807727783,6473.100296107721,5.0441148624439226e-05,2.188563597090255,0.007410203775910789,74641.78096836047,0.4424150302880271,5900272.414496997,420471.55712524656,16317.042473123427,469.4845630365539,0.04137623402403892,198.80275225772456,18.69547911202898,10.036401627555772
280.0,524.959605139816,0.0,25.900447733907225,0.0956668889273186,0.05504680165771407,6410.468335618562,5.2193246169667685e-05,2.202843418344987,0.007461115882313878,75279.78573216352,0.45931203842093987,5990169.861801116,436829.4109395291,17367.387452717074,515.2366287234597,0.04541271940284185,217.09699053661973,20.836750325489522,11.333436897898967
290.0,529.1009211956638,0.0,25.32647262379944,0.5749681509921365,0.05304903406471482,6348.44237569219,5.391849475956201e-05,2.2147937218768083,0.00750404587585519,75885.93829892809,0.47608477766071494,6079923.848571495,453308.70733905333,18446.160577533763,563.7042099951618,0.04968905253013411,236.43622464190778,23.15966912233786,12.74918325995101
300.0,533.0280426480324,0.0,24.765222097425617,1.0436436752231306,0.05108779648043797,6287.016574598924,5.561472389204576e-05,2.224496893698582,0.007539283000733022,76461.0179757109,0.49271162970845295,6169451.313508444,469906.35509138106,19553.04688401007,614.9409891663992,0.054209981910439985,256.83620603827137,25.673111283842772,14.290095223731829
310.0,536.7464037913431,0.0,24.216410131451443,1.5019323070731996,0.049162735836215624,6226.1851099380365,5.727937664923854e-05,2.2320362744236557,0.007567105581325917,77005.81411502635,0.5091689898436412,6258663.849434028,486620.2524258049,20687.641899596823,669.0019326794271,0.05898037029393301,278.3137068784954,28.38517855161324,15.962264451879316
320.0,540.2617147701923,0.0,23.679733140860506,1.9500875569802434,0.047275761745239134,6165.942121288829,5.890864998747476e-05,2.2375014326343465,0.007587779110883351,77521.1666633123,0.5254262534522277,6347453.165049056,503451.19452452275,21849.31478559519,725.9477947583885,0.06400559393627052,300.88927316114297,31.3020666151927,17.770776804184603
330.0,543.5787055118681,0.0,23.154946628896912,2.3883135933857433,0.04542406765529595,6106.282014120844,6.05020506153057e-05,2.2409602196166585,0.007601566380164701,78007.75128164899,0.5414723840169431,6435768.127730075,520392.7651171616,23037.933587015366,785.8212511051787,0.06928942679310478,324.5726348679677,34.4340640076518,19.723119564124126
340.0,546.7023335363974,0.0,22.64179148197219,2.8168267906024287,0.043606841572479814,6047.199167559723,6.205801414987643e-05,2.242485640983525,0.0076087177379371256,78466.28596949385,0.5572903658548569,6523540.68067514,537441.0565267602,24253.167846426837,848.6698482730313,0.07483607503746455,349.37673529183905,37.78978368433326,21.82590511613574
350.0,549.6374263020188,0.0,22.14001579508422,3.235837503370986,0.041823278893818885,5988.688020923056,6.357520236441876e-05,2.2421478994983204,0.007609473975019337,78897.46987963474,0.5728647691265426,6610707.780184661,554591.7913873267,25494.69511268415,914.5392079395043,0.08064957460214654,375.3135766975227,41.3778711573244,24.085841124380043
360.0,552.3886812051819,0.0,21.649374871817194,3.6455500668600584,0.04007258240727571,5930.743073720373,6.505250318825129e-05,2.240014395074859,0.0076040663242815925,79301.98331818989,0.5881817498360764,6697211.395661406,571840.322643838,26762.200940926905,983.4730269064806,0.08673379117971543,402.39422032168034,45.20700449545719,26.50973053274037
370.0,554.9609578169898,0.0,21.169613463110746,4.046177628285653,0.03835441345259491,5873.358812457081,6.64880176605062e-05,2.2361573133160277,0.0075927400093883605,79680.53093875508,0.6032230156190277,6782981.007164372,589183.8627624402,28055.236541551676,1055.51746166572,0.09309280899810363,430.6316221173224,49.28463873564228,29.103707519779157
380.0,557.3591502808015,0.0,20.70047352254063,4.437935670818801,0.03666869492600348,5816.529742594852,6.7879502267613e-05,2.2306503120470933,0.007575743962453034,80033.8228820704,0.6179684605265028,6867941.247693442,606620.5103659959,29373.280936499712,1130.7192139180042,0.09973076106526543,460.03939455166613,53.617554124292774,31.873571112089163
390.0,559.5875203420939,0.0,20.241734742709642,4.821008163435974,0.03501458159749319,5760.250555606768,6.922668101502465e-05,2.223551202022321,0.007553277078830478,80362.47619417938,0.632409936884684,6952051.8489567945,624144.1625159715,30716.065846476646,1209.1155236955549,0.10665094186807723,490.62533459716025,58.21472174264756,34.826528961443096
400.0,561.6504542591807,0.0,19.793168552545193,5.195585975743954,0.033391628645724,5704.515939394884,7.052862157380631e-05,2.214921601716175,0.0075255492098381,80667.1267019805,0.6465356263071043,7035262.308937265,641750.2885067264,32083.206992857988,1290.74552566192,0.11385681432553497,522.3987684875468,63.08405145334451,37.96921842019073
410.0,563.5522324333234,0.0,19.354552118471712,5.561855186219184,0.03179943600807751,5649.3206359906735,7.17845338646766e-05,2.204820955280831,0.007492762599289834,80948.39496329517,0.6603347964619729,7117525.689064811,659434.1725798502,33474.31631295735,1375.6467927604056,0.12135170331707772,555.3683163014505,68.23338168054943,41.30830883771327
420.0,563.5201639640876,0.0,19.354552116650005,5.56185518507197,6.378417445393844e-12,5649.320635759978,7.178415991170573e-05,2.2366203166525196,7.64968580908062e-13,81527.13621047289,0.667827515472322,17190916.452075217,659434.1727289361,31658.351916679272,1375.6467931122243,1.2162865277541432e-11,2368.622817050604,68.23338175267624,41.429660555491
430.0,563.5201639642667,0.0,19.35455211660663,5.561855185044655,6.377882583550299e-12,5649.320635754486,7.178415100808743e-05,2.2366203166546628,7.64968580923242e-13,81527.13621049878,0.6678275154737239,17430772.55230603,659434.1727343051,31616.33717598418,1375.646793120321,1.2162865277613025e-11,2410.532727469506,68.23338175558628,41.42966055583559
440.0,563.5201639644457,0.0,19.35455211656326,5.56185518501734,6.37778642541858e-12,5649.320635748992,7.17841421044702e-05,2.236620316656804,7.649685809347992e-13,81527.1362105247,0.6678275154751258,17670628.65253639,659434.172739759,31574.378194101657,1375.6467931284055,1.2162865277684507e-11,2452.3850418420425,68.23338175855072,41.42966055618019
